Термин,Перевод,Пояснение
addend,Слагаемое,2
plus,плюс,+
addend,Слагаемое,2
equals,равно,=
sum,сумма,4
add,прибавлять,-
addition,сложение,-
subtraction,вычитание,-
minuend,уменьшаемое,5
minus,минус,-
subtrahend,вычитаемое,3
difference,разность,2
multiplication,умножение,-
times,раз/на - два,-
factor,множитель,2
multiply,умножить,*
factor,множитель,2
product,произведение,4
division,деление,-
divided by,разделить на,-
dividend,делимое,10
divide,делить,/
divisor,делитель,5
quotient,частное,2
exponentiation,возведение в степень,-
power,степень,-
squared,в квадрате,-
cubed,в кубе,-
raise to,возведение в,-
exponent,показатель степени,-
base,основание,-
